runnumber,runtype,brtimestamp,ertimestamp,duration_minutes,hostname,nr_events
40884,physics,2024-05-01 01:31:21,2024-05-01 01:44:00,12.650,gl1daq,7314998
40890,physics,2024-05-01 04:15:30,2024-05-01 04:26:31,11.017,gl1daq,8336681
40893,physics,2024-05-01 06:38:13,2024-05-01 06:58:44,20.517,gl1daq,14396801
40895,physics,2024-05-01 07:04:51,2024-05-01 07:22:41,17.833,gl1daq,13729763
42068,physics,2024-05-11 21:06:20,2024-05-11 21:37:12,30.867,gl1daq,26023457
42069,physics,2024-05-11 21:39:36,2024-05-11 21:55:05,15.483,gl1daq,9976928
42072,physics,2024-05-11 22:21:35,2024-05-11 22:41:04,19.483,gl1daq,15791862
42073,physics,2024-05-11 22:42:20,2024-05-11 23:14:56,32.600,gl1daq,24739154
42074,physics,2024-05-11 23:16:34,2024-05-11 23:36:04,19.500,gl1daq,13015625
42075,physics,2024-05-11 23:37:23,2024-05-12 00:00:56,23.550,gl1daq,9973335
42087,physics,2024-05-12 02:39:29,2024-05-12 03:09:22,29.883,gl1daq,8160303
42201,physics,2024-05-12 22:40:44,2024-05-12 22:51:00,10.267,gl1daq,2219825
42202,physics,2024-05-12 22:53:39,2024-05-12 23:27:41,34.033,gl1daq,7289536
42203,physics,2024-05-12 23:30:23,2024-05-13 00:04:01,33.633,gl1daq,1687526
42210,physics,2024-05-13 04:30:18,2024-05-13 05:30:42,60.400,gl1daq,5331897
42211,physics,2024-05-13 05:32:28,2024-05-13 06:35:58,63.500,gl1daq,4443395
42212,physics,2024-05-13 06:50:05,2024-05-13 07:50:09,60.067,gl1daq,3688996
42213,physics,2024-05-13 07:52:02,2024-05-13 08:10:16,18.233,gl1daq,1068321
42214,physics,2024-05-13 08:14:30,2024-05-13 09:01:37,47.117,gl1daq,5223378
42215,physics,2024-05-13 09:15:18,2024-05-13 09:46:57,31.650,gl1daq,3335280
42230,physics,2024-05-13 14:03:20,2024-05-13 14:15:33,12.217,gl1daq,9635520
42325,physics,2024-05-13 20:12:56,2024-05-13 21:42:01,89.083,gl1daq,52580645
42362,physics,2024-05-13 21:42:49,2024-05-13 21:56:13,13.400,gl1daq,6910791
42396,physics,2024-05-13 22:23:10,2024-05-13 22:40:33,17.383,gl1daq,9465340
42402,physics,2024-05-14 00:35:36,2024-05-14 00:48:09,12.550,gl1daq,2529036
42407,physics,2024-05-14 01:34:21,2024-05-14 01:54:55,20.567,gl1daq,13877797
42411,physics,2024-05-14 01:59:56,2024-05-14 02:35:45,35.817,gl1daq,28331215
42414,physics,2024-05-14 02:53:18,2024-05-14 03:22:27,29.150,gl1daq,19589034
42415,physics,2024-05-14 03:30:18,2024-05-14 04:30:33,60.250,gl1daq,46694492
42416,physics,2024-05-14 04:32:43,2024-05-14 04:43:12,10.483,gl1daq,7469664
42417,physics,2024-05-14 04:44:06,2024-05-14 05:42:51,58.750,gl1daq,44926617
42418,physics,2024-05-14 05:45:32,2024-05-14 05:59:55,14.383,gl1daq,10853878
42420,physics,2024-05-14 06:21:07,2024-05-14 07:21:33,60.433,gl1daq,46780126
42421,physics,2024-05-14 07:23:06,2024-05-14 07:40:49,17.717,gl1daq,13672490
42422,physics,2024-05-14 07:42:39,2024-05-14 08:01:39,19.000,gl1daq,14686133
42425,physics,2024-05-14 08:31:50,2024-05-14 09:03:26,31.600,gl1daq,20022407
42522,physics,2024-05-14 19:46:28,2024-05-14 20:08:08,21.667,gl1daq,8527991
42524,physics,2024-05-14 20:08:57,2024-05-14 20:28:52,19.917,gl1daq,7064967
42574,physics,2024-05-15 01:07:43,2024-05-15 01:49:23,41.667,gl1daq,6166679
42581,physics,2024-05-15 05:07:13,2024-05-15 05:36:51,29.633,gl1daq,8575777
42583,physics,2024-05-15 05:47:28,2024-05-15 06:17:16,29.800,gl1daq,244349
42584,physics,2024-05-15 06:19:50,2024-05-15 06:55:35,35.750,gl1daq,97364
42585,physics,2024-05-15 06:59:55,2024-05-15 07:29:17,29.367,gl1daq,31168
42586,physics,2024-05-15 07:32:35,2024-05-15 08:02:24,29.817,gl1daq,17869
42789,physics,2024-05-17 05:38:24,2024-05-17 05:53:09,14.750,gl1daq,325466
42793,physics,2024-05-17 06:23:10,2024-05-17 07:06:16,43.100,gl1daq,5540468
42795,physics,2024-05-17 07:13:57,2024-05-17 07:25:20,11.383,gl1daq,6761830
42796,physics,2024-05-17 07:27:50,2024-05-17 07:56:34,28.733,gl1daq,17308741
42797,physics,2024-05-17 07:58:02,2024-05-17 08:48:04,50.033,gl1daq,31828882
42836,physics,2024-05-18 01:57:06,2024-05-18 02:57:53,60.783,gl1daq,47525148
42861,physics,2024-05-18 03:00:09,2024-05-18 04:00:34,60.417,gl1daq,4549522
42872,physics,2024-05-18 04:06:51,2024-05-18 04:17:33,10.700,gl1daq,6698057
42878,physics,2024-05-18 04:36:49,2024-05-18 04:56:27,19.633,gl1daq,14147523
42887,physics,2024-05-18 04:58:23,2024-05-18 05:11:28,13.083,gl1daq,7651182
42893,physics,2024-05-18 05:20:30,2024-05-18 05:32:03,11.550,gl1daq,9196628
42898,physics,2024-05-18 06:05:28,2024-05-18 06:16:08,10.667,gl1daq,7030629
42912,physics,2024-05-18 06:44:47,2024-05-18 07:09:01,24.233,gl1daq,18562019
42929,physics,2024-05-18 07:23:40,2024-05-18 07:35:54,12.233,gl1daq,9647668
42953,physics,2024-05-18 09:15:47,2024-05-18 09:45:16,29.483,gl1daq,213128
42991,physics,2024-05-18 23:53:02,2024-05-19 00:12:20,19.300,gl1daq,9545259
43000,physics,2024-05-19 01:05:37,2024-05-19 01:32:00,26.383,gl1daq,13547368
43003,physics,2024-05-19 01:50:38,2024-05-19 02:05:57,15.317,gl1daq,1981546
43005,physics,2024-05-19 02:09:52,2024-05-19 02:24:48,14.933,gl1daq,6867694
43007,physics,2024-05-19 02:27:20,2024-05-19 02:54:39,27.317,gl1daq,8168712
43021,physics,2024-05-19 03:13:55,2024-05-19 03:26:35,12.667,gl1daq,2671183
43027,physics,2024-05-19 03:36:00,2024-05-19 04:35:36,59.600,gl1daq,28415968
43055,physics,2024-05-19 04:37:49,2024-05-19 05:37:50,60.017,gl1daq,28125576
43111,physics,2024-05-19 15:23:00,2024-05-19 15:33:33,10.550,gl1daq,10320730
43117,physics,2024-05-19 16:18:40,2024-05-19 16:33:43,15.050,gl1daq,3858152
43119,physics,2024-05-19 16:47:06,2024-05-19 17:04:20,17.233,gl1daq,8591068
43120,physics,2024-05-19 17:05:11,2024-05-19 17:19:10,13.983,gl1daq,9988849
43123,physics,2024-05-19 18:04:53,2024-05-19 18:37:09,32.267,gl1daq,6296440
43124,physics,2024-05-19 18:39:07,2024-05-19 18:59:58,20.850,gl1daq,3943733
43125,physics,2024-05-19 19:02:00,2024-05-19 19:18:48,16.800,gl1daq,3835858
43126,physics,2024-05-19 19:22:24,2024-05-19 20:31:12,68.800,gl1daq,16688201
43133,physics,2024-05-19 21:24:51,2024-05-19 21:38:35,13.733,gl1daq,7817504
43136,physics,2024-05-19 21:52:22,2024-05-19 22:05:47,13.417,gl1daq,7560846
43151,physics,2024-05-20 00:45:05,2024-05-20 01:11:49,26.733,gl1daq,12669747
43157,physics,2024-05-20 01:25:01,2024-05-20 01:52:35,27.567,gl1daq,11086575
43164,physics,2024-05-20 02:20:14,2024-05-20 02:30:20,10.100,gl1daq,3530736
43167,physics,2024-05-20 02:54:52,2024-05-20 03:19:44,24.867,gl1daq,11911715
43170,physics,2024-05-20 03:22:00,2024-05-20 03:39:24,17.400,gl1daq,8152221
43176,physics,2024-05-20 04:03:51,2024-05-20 05:03:50,59.983,gl1daq,26122488
43182,physics,2024-05-20 05:08:35,2024-05-20 05:31:17,22.700,gl1daq,12839168
43187,physics,2024-05-20 06:01:39,2024-05-20 06:20:15,18.600,gl1daq,9548984
43201,physics,2024-05-20 06:28:31,2024-05-20 06:57:24,28.883,gl1daq,14312577
43207,physics,2024-05-20 06:59:09,2024-05-20 07:16:46,17.617,gl1daq,8627499
43211,physics,2024-05-20 07:18:22,2024-05-20 08:16:51,58.483,gl1daq,28839919
43220,physics,2024-05-20 08:24:50,2024-05-20 08:52:30,27.667,gl1daq,14746221
43226,physics,2024-05-20 08:56:17,2024-05-20 09:39:31,43.233,gl1daq,22495108
43268,physics,2024-05-20 20:14:06,2024-05-20 20:27:11,13.083,gl1daq,5752214
43269,physics,2024-05-20 20:28:12,2024-05-20 20:39:03,10.850,gl1daq,7901604
43273,physics,2024-05-20 21:08:50,2024-05-20 21:25:12,16.367,gl1daq,13927309
43277,physics,2024-05-20 21:52:19,2024-05-20 22:04:32,12.217,gl1daq,5122924
